epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,150.733,1.11882,0.66155,1.02067,0.85202,0.73684,0.81371,0.48633,1.40994,0.82325,1.13272,0.0011882,0.0011882,0.0011882
43,153.128,1.06948,0.65947,0.99256,0.84998,0.73684,0.82272,0.50532,1.36729,0.78211,1.1402,0.0011684,0.0011684,0.0011684
44,155.547,1.09051,0.67175,1.01148,0.82814,0.76842,0.79721,0.43327,1.54719,0.89078,1.17327,0.0011486,0.0011486,0.0011486
45,157.841,1.08471,0.65016,1.00702,0.7765,0.73144,0.7969,0.4692,1.41962,0.8991,1.15827,0.0011288,0.0011288,0.0011288
46,160.146,1.09721,0.66537,1.01644,0.81532,0.77895,0.81296,0.46807,1.44629,0.94308,1.15194,0.001109,0.001109,0.001109
47,164.619,1.09372,0.6513,1.00401,0.77676,0.8,0.85596,0.47464,1.49612,0.9305,1.16173,0.0010892,0.0010892,0.0010892
48,167.445,1.03625,0.62615,1.01052,0.82099,0.74737,0.81112,0.47607,1.38256,0.93181,1.11361,0.0010694,0.0010694,0.0010694
49,169.706,1.06384,0.63166,1.00815,0.73841,0.80227,0.78632,0.43789,1.4852,0.97398,1.18345,0.0010496,0.0010496,0.0010496
50,172.016,1.02606,0.61897,0.98957,0.78435,0.82105,0.81325,0.49135,1.38254,0.84681,1.14641,0.0010298,0.0010298,0.0010298
51,174.271,1.04333,0.62926,1.00436,0.81681,0.75101,0.79843,0.48303,1.37735,0.84034,1.13212,0.00101,0.00101,0.00101
52,176.506,1.01303,0.61776,0.98041,0.8007,0.80354,0.82013,0.48405,1.43575,0.90002,1.14483,0.0009902,0.0009902,0.0009902
53,178.933,0.99551,0.60817,0.9978,0.79137,0.79857,0.82607,0.47893,1.43654,0.85473,1.15381,0.0009704,0.0009704,0.0009704
54,181.256,1.00729,0.60396,0.99037,0.78292,0.75789,0.79125,0.45275,1.42443,0.87592,1.14413,0.0009506,0.0009506,0.0009506
55,184.46,1.00542,0.60168,0.9932,0.77646,0.76782,0.80794,0.45831,1.43228,0.82998,1.15433,0.0009308,0.0009308,0.0009308
56,189.174,1.03748,0.59629,1.001,0.79644,0.73684,0.8027,0.4542,1.40973,0.81931,1.11697,0.000911,0.000911,0.000911
57,193.552,1.00442,0.58313,0.98562,0.72749,0.81053,0.79929,0.45443,1.38583,0.86033,1.11746,0.0008912,0.0008912,0.0008912
58,198.69,0.98424,0.58173,0.98121,0.74682,0.84211,0.79854,0.45628,1.40551,0.87715,1.12298,0.0008714,0.0008714,0.0008714
59,203.645,0.97745,0.57773,0.97212,0.78763,0.82105,0.82273,0.47357,1.41529,0.87037,1.12499,0.0008516,0.0008516,0.0008516
60,208.861,0.9724,0.58325,0.96637,0.78966,0.77895,0.81525,0.45054,1.46302,0.88204,1.14694,0.0008318,0.0008318,0.0008318
61,214.124,0.98912,0.57308,0.97175,0.77981,0.82015,0.81187,0.45427,1.40961,0.88197,1.12901,0.000812,0.000812,0.000812
62,219.373,0.97215,0.57387,0.98615,0.76417,0.8,0.80084,0.46689,1.43186,0.87181,1.16188,0.0007922,0.0007922,0.0007922
63,224.326,0.98688,0.58763,0.9708,0.76841,0.8033,0.8197,0.48194,1.3813,0.82126,1.17371,0.0007724,0.0007724,0.0007724
64,229.178,0.96865,0.58293,0.96837,0.77057,0.83158,0.83037,0.46857,1.39967,0.79528,1.1352,0.0007526,0.0007526,0.0007526
65,234.017,0.92661,0.55732,0.98532,0.78785,0.78186,0.83005,0.4915,1.35528,0.87025,1.13525,0.0007328,0.0007328,0.0007328
66,239.02,0.95123,0.55442,0.96795,0.80269,0.8,0.81754,0.4797,1.36798,0.84508,1.14306,0.000713,0.000713,0.000713
67,243.958,0.90938,0.54694,0.95367,0.81899,0.77895,0.83216,0.4945,1.34544,0.77527,1.12876,0.0006932,0.0006932,0.0006932
68,248.822,0.91817,0.55661,0.96165,0.74125,0.83158,0.81709,0.47441,1.38318,0.82923,1.12256,0.0006734,0.0006734,0.0006734
69,253.613,0.90754,0.54865,0.96831,0.83266,0.75789,0.82224,0.48224,1.38554,0.83783,1.10845,0.0006536,0.0006536,0.0006536
70,258.561,0.92401,0.55095,0.95716,0.84197,0.76842,0.82906,0.4879,1.36824,0.8312,1.10591,0.0006338,0.0006338,0.0006338
71,263.401,0.89655,0.53513,0.95631,0.83391,0.76842,0.83064,0.4892,1.40435,0.80814,1.11924,0.000614,0.000614,0.000614
72,269.079,0.87374,0.52573,0.94734,0.86423,0.73684,0.82181,0.48236,1.37109,0.81359,1.12218,0.0005942,0.0005942,0.0005942
73,272.617,0.89845,0.51811,0.94096,0.79628,0.82287,0.83168,0.48897,1.39281,0.81623,1.12122,0.0005744,0.0005744,0.0005744
74,275.124,0.90655,0.54302,0.9507,0.73413,0.86316,0.8472,0.50388,1.33942,0.76638,1.11412,0.0005546,0.0005546,0.0005546
75,277.526,0.88419,0.53238,0.95541,0.86572,0.74654,0.83566,0.49463,1.35239,0.77987,1.12204,0.0005348,0.0005348,0.0005348
76,280.089,0.89698,0.52661,0.95373,0.79638,0.82339,0.83145,0.50028,1.37943,0.80443,1.14417,0.000515,0.000515,0.000515
77,282.575,0.86301,0.51843,0.94089,0.78014,0.82173,0.84248,0.50683,1.36157,0.81259,1.13583,0.0004952,0.0004952,0.0004952
78,285.146,0.83054,0.51247,0.95228,0.83246,0.73229,0.80914,0.48669,1.33413,0.81354,1.109,0.0004754,0.0004754,0.0004754
79,287.542,0.88076,0.51296,0.95065,0.83462,0.71579,0.80415,0.46785,1.36873,0.80929,1.12391,0.0004556,0.0004556,0.0004556
80,289.935,0.88568,0.52521,0.95973,0.8683,0.70526,0.8186,0.48135,1.3936,0.80989,1.13363,0.0004358,0.0004358,0.0004358
81,292.259,0.8767,0.51425,0.9474,0.76001,0.77895,0.81146,0.4765,1.36938,0.8142,1.10623,0.000416,0.000416,0.000416
82,294.657,0.83927,0.51088,0.95172,0.73886,0.8,0.80657,0.47564,1.39671,0.82618,1.13389,0.0003962,0.0003962,0.0003962
83,297.004,0.84266,0.51126,0.94707,0.85327,0.70526,0.82529,0.48946,1.35186,0.81238,1.10628,0.0003764,0.0003764,0.0003764
84,299.356,0.82831,0.49207,0.94433,0.71798,0.82105,0.81103,0.47505,1.37367,0.78563,1.11937,0.0003566,0.0003566,0.0003566
85,301.776,0.82411,0.49448,0.94049,0.82401,0.73928,0.82719,0.48659,1.37933,0.79872,1.12856,0.0003368,0.0003368,0.0003368
86,304.13,0.8586,0.4898,0.95129,0.7642,0.82105,0.82883,0.48898,1.38064,0.80988,1.12808,0.000317,0.000317,0.000317
